B73V4_ctg53	231774	*	0	-
B73V4_ctg53	296254	5	7638788	+
B73V4_ctg53	334998	*	0	-
B73V4_ctg53	356335	6	55078752	+
B73V4_ctg53	362312	5	7698578	+
B73V4_ctg53	362312	5	7656932	-
B73V4_ctg50	47321	4	61510533	-
B73V4_ctg50	189024	4	61488704	-
B73V4_ctg50	223163	3	71053823	-
B73V4_ctg50	223163	3	65462667	-
B73V4_ctg50	223163	7	2704520	-
B73V4_ctg181	37433	*	0	-
B73V4_ctg181	42145	1	57941264	-
B73V4_ctg181	47426	1	57918926	-
B73V4_ctg181	132473	1	57887240	-
B73V4_ctg181	132473	2	10222369	-
B73V4_ctg181	214703	1	57872662	-
B73V4_ctg181	244852	1	57854026	-
B73V4_ctg181	248690	1	57849689	-
B73V4_ctg181	307491	1	57778411	-
B73V4_ctg181	314008	1	57774181	-
B73V4_ctg140	2505	5	4708680	-
B73V4_ctg140	10774	*	0	-
B73V4_ctg140	211060	1	15302534	+
B73V4_ctg140	276457	5	70031249	+
B73V4_ctg140	276457	2	8061344	+
B73V4_ctg178	149138	9	42923186	+
B73V4_ctg178	177577	9	42940990	+
B73V4_ctg178	202000	9	42995522	+
B73V4_ctg178	204778	9	42998673	+
B73V4_ctg178	216729	9	43053246	+
B73V4_ctg6	82969	9	44188677	-
B73V4_ctg6	202993	1	12836867	-
B73V4_ctg6	231862	1	12781059	-
B73V4_ctg6	231862	1	12796429	+
B73V4_ctg129	15011	10	2710828	+
B73V4_ctg129	53844	*	0	-
B73V4_ctg129	57550	10	9281158	+
B73V4_ctg129	57550	2	4742182	-
B73V4_ctg129	111431	*	0	-
B73V4_ctg129	173140	*	0	-
B73V4_ctg129	204285	10	2790144	+
B73V4_ctg129	249807	*	0	-
B73V4_ctg26	73806	1	68036211	+
B73V4_ctg26	115480	3	69146481	+
B73V4_ctg26	118133	2	73420213	+
B73V4_ctg26	144186	3	69196415	+
B73V4_ctg26	177561	3	69200321	+
B73V4_ctg98	2666	8	60668435	-
B73V4_ctg98	24447	8	60642409	-
B73V4_ctg98	35084	8	60629267	-
B73V4_ctg98	40487	2	65427159	+
B73V4_ctg98	40487	4	4433837	+
B73V4_ctg98	40487	2	60514613	+
B73V4_ctg98	40487	1	73095931	+
B73V4_ctg98	40487	6	59455616	-
B73V4_ctg98	40487	4	6629327	-
B73V4_ctg98	40487	9	43071600	-
B73V4_ctg98	63869	2	51116687	-
B73V4_ctg98	63869	3	69380633	+
B73V4_ctg98	63869	5	19492928	-
B73V4_ctg98	63869	7	17096021	+
B73V4_ctg98	63869	4	67956958	-
B73V4_ctg98	63869	4	4434828	+
B73V4_ctg98	63869	2	60473095	-
B73V4_ctg98	63869	1	59761660	+
